service_id,date,exception_type
1,20231130,1
1,20231201,1
10,20231203,1
10,20231204,1
11,20231205,1
11,20231206,1
11,20231207,1
11,20231208,1
11,20231209,1
12,20231210,1
12,20231211,1
12,20231217,1
12,20231218,1
13,20231130,1
13,20231201,1
13,20231202,1
13,20231205,1
13,20231206,1
13,20231207,1
13,20231208,1
13,20231209,1
14,20231202,1
14,20231209,1
15,20231202,1
16,20231210,1
16,20231217,1
17,20231203,1
18,20231204,1
18,20231205,1
19,20231206,1
2,20231202,1
2,20231203,1
20,20231207,1
20,20231208,1
21,20231130,1
22,20231201,1
22,20231204,1
22,20231205,1
22,20231206,1
22,20231207,1
22,20231208,1
23,20231201,1
3,20231209,1
4,20231204,1
4,20231205,1
4,20231206,1
4,20231207,1
4,20231208,1
5,20231130,1
5,20231201,1
5,20231204,1
5,20231205,1
5,20231206,1
5,20231207,1
5,20231208,1
6,20231130,1
6,20231204,1
6,20231205,1
6,20231206,1
6,20231207,1
7,20231202,1
7,20231203,1
7,20231209,1
8,20231201,1
8,20231208,1
9,20231130,1
9,20231201,1
9,20231202,1
